"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
0,341;-0,15;0,638;0,721;0,695;0,122;0,086;-0,214;0,036;0,122;0,494;0,173
0,112;0,341;-0,15;0,638;0,721;0,695;0,122;0,086;-0,214;0,036;0,122;0,494
0,154;0,112;0,341;-0,15;0,638;0,721;0,695;0,122;0,086;-0,214;0,036;0,122
-0,2;0,154;0,112;0,341;-0,15;0,638;0,721;0,695;0,122;0,086;-0,214;0,036
0,124;-0,2;0,154;0,112;0,341;-0,15;0,638;0,721;0,695;0,122;0,086;-0,214
0,274;0,124;-0,2;0,154;0,112;0,341;-0,15;0,638;0,721;0,695;0,122;0,086
0,262;0,274;0,124;-0,2;0,154;0,112;0,341;-0,15;0,638;0,721;0,695;0,122
0,395;0,262;0,274;0,124;-0,2;0,154;0,112;0,341;-0,15;0,638;0,721;0,695
0,912;0,395;0,262;0,274;0,124;-0,2;0,154;0,112;0,341;-0,15;0,638;0,721
1,174;0,912;0,395;0,262;0,274;0,124;-0,2;0,154;0,112;0,341;-0,15;0,638
0,716;1,174;0,912;0,395;0,262;0,274;0,124;-0,2;0,154;0,112;0,341;-0,15
0,187;0,716;1,174;0,912;0,395;0,262;0,274;0,124;-0,2;0,154;0,112;0,341
0,503;0,187;0,716;1,174;0,912;0,395;0,262;0,274;0,124;-0,2;0,154;0,112
0,545;0,503;0,187;0,716;1,174;0,912;0,395;0,262;0,274;0,124;-0,2;0,154
0,935;0,545;0,503;0,187;0,716;1,174;0,912;0,395;0,262;0,274;0,124;-0,2
0,799;0,935;0,545;0,503;0,187;0,716;1,174;0,912;0,395;0,262;0,274;0,124
0,454;0,799;0,935;0,545;0,503;0,187;0,716;1,174;0,912;0,395;0,262;0,274
0,414;0,454;0,799;0,935;0,545;0,503;0,187;0,716;1,174;0,912;0,395;0,262
0,407;0,414;0,454;0,799;0,935;0,545;0,503;0,187;0,716;1,174;0,912;0,395
0,65;0,407;0,414;0,454;0,799;0,935;0,545;0,503;0,187;0,716;1,174;0,912
0,737;0,65;0,407;0,414;0,454;0,799;0,935;0,545;0,503;0,187;0,716;1,174
0,545;0,737;0,65;0,407;0,414;0,454;0,799;0,935;0,545;0,503;0,187;0,716
0,655;0,545;0,737;0,65;0,407;0,414;0,454;0,799;0,935;0,545;0,503;0,187
0,842;0,655;0,545;0,737;0,65;0,407;0,414;0,454;0,799;0,935;0,545;0,503
0,851;0,842;0,655;0,545;0,737;0,65;0,407;0,414;0,454;0,799;0,935;0,545
0,809;0,851;0,842;0,655;0,545;0,737;0,65;0,407;0,414;0,454;0,799;0,935
0,481;0,809;0,851;0,842;0,655;0,545;0,737;0,65;0,407;0,414;0,454;0,799
0,18;0,481;0,809;0,851;0,842;0,655;0,545;0,737;0,65;0,407;0,414;0,454
0,481;0,18;0,481;0,809;0,851;0,842;0,655;0,545;0,737;0,65;0,407;0,414
0,707;0,481;0,18;0,481;0,809;0,851;0,842;0,655;0,545;0,737;0,65;0,407
0,564;0,707;0,481;0,18;0,481;0,809;0,851;0,842;0,655;0,545;0,737;0,65
