Period;YA;YN;YM;YS;YW
2004M11;0,831194811;-1,273081049;0,159542538;-0,157285204;0,542799411
2004M12;2,147687479;-1,638359133;0,154979319;-1,459466099;4,725128275
2005M01;1,937521419;-1,410728166;-1,102814038;-1,062263519;3,63494611
2005M02;1,499128481;-0,219864283;-1,382791295;-0,380877783;1,381250038
2005M03;1,588610266;1,091680059;-0,527647837;-0,565145374;2,183909316
2005M04;1,630082718;1,321466504;-0,593918944;-0,806149163;2,88172864
2005M05;2,542511977;0,754206182;-1,075526255;-1,252509679;3,717513572
2005M06;2,044576144;-0,218187079;-0,850758939;-1,852602239;4,527788997
2005M07;0,430852474;-0,606242479;-0,508604751;-1,83445195;5,94612654
2005M08;0,873733685;-0,217283625;-1,269326826;-0,388944812;2,50342129
2005M09;-1,381090417;1,899582623;-1,8849312;1,069240386;-5,007427501
2005M10;1,650961661;1,772714896;-0,3137128;-1,627007907;4,269628224
2005M11;2,784629958;0,313688831;1,097854172;-3,644370665;12,05545959
