CCV1;CCV2;CCV3;CCV4;CCV5;CCV6;CCV7;CCV8;CCV9;CCV10
6,593313157;9,574630752;5,227443714;0,432556938;252,2292199;3234,398685;1,950067085;1,624517323;1,455264143;5,853419132
6,078608274;8,684246647;5,24489459;0,398100772;295,9573753;2896,638539;3,285385909;3,361959218;3,652261874;4,954985358
5,912953544;8,896525333;4,486864824;0,499754262;203,0463113;3214,1881;9,677957631;0,854748433;1,214989969;7,208356554
7,559930173;11,04610354;4,797892593;0,699311732;241,4503694;2877,767483;26,01748805;6,377807267;14,59844477;18,64131579
6,060222791;9,101943262;4,417219493;0,246886919;2055,158821;2847,641042;35,14686145;12,8583455;29,00864552;9,148418326
7,108893104;9,927376739;5,172584336;0,471807174;7102,819707;2894,706174;40,86336512;44,36221246;39,7218595;7,247011122
5,98566346;8,771583511;4,524043051;0,359236101;1032,25086;2844,809844;33,80894656;32,95524809;28,6127138;4,121943015
5,779085332;8,51277802;4,410664318;0,429809431;278,8095976;6584,82818;15,50637615;32,5190202;28,03981396;4,693028739
5,761838889;8,503062821;5,204693605;0,531563397;197,7460472;3665,078197;7,963481003;17,31060161;7,450150324;5,592689725
13,48068261;12,49400377;17,06062607;0,33724644;195,3019169;31488,49161;5,622144885;4,230272726;5,395883357;4,204884253
8,112977314;9,677098785;8,610665644;0,465671723;184,6704068;7469,626327;6,050042725;6,206120571;5,907619964;4,380421261
19,09124315;17,86495667;19,93490193;0,394507277;268,4855699;19388,68327;16,89010438;7,569872474;12,4026644;4,927292939
8,557688315;10,53171416;8,31305516;0,3993452;195,1094725;6614,876011;10,81052268;4,172029839;5,257087872;4,44270947
6,154117442;8,946351036;4,818863472;0,430528991;225,9307556;3383,400938;13,22863036;6,740026848;9,405729585;5,297671739
6,406061685;9,202954764;4,725648154;0,402779089;188,609185;3133,52549;1,414986893;16,90070326;12,87899706;5,535388379
6,795302487;9,415616303;5,30015784;0,516714589;975,073522;2869,610456;4,481771838;3,88212355;0,734348461;8,764843278
6,106752971;8,835107138;4,64393987;0,336214992;267,8161124;2841,74374;4,987809623;3,233160938;2,847408825;4,321739981
5,969271977;8,691334084;4,539631786;0,425888264;925,2791576;2852,298285;5,720649538;2,678562286;4,857745255;4,399278133
8,171330722;9,89590114;8,0069416;0,410882405;1518,128199;3015,272857;9,607594022;10,30569989;10,02637181;6,355479311
